其他地区,#genre#
安徽卫视,http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-anhuistv/HD-8000k-1080P-anhuistv#http://112.17.40.140/PLTV/88888888/224/3221226185/index.m3u8#http://223.110.245.146/ott.js.chinamobile.com/PLTV/3/224/3221225634/index.m3u8#http://219.153.252.50/PLTV/88888888/224/3221225534/chunklist.m3u8
山东卫视,http://183.207.248.71:80/cntv/live1/HD-2500k-1080P-shandongstv/HD-2500k-1080P-shandongstv#http://112.17.40.140/PLTV/88888888/224/3221226587/index.m3u8#http://223.110.243.152/ott.js.chinamobile.com/PLTV/3/224/3221227621/index.m3u8
广东卫视,http://183.207.248.71:80/cntv/live1/n-guangdongstv/n-guangdongstv
古装剧场,http://183.207.248.71:80/cntv/live1/n-guzhuangjc/n-guzhuangjc
动作电影,http://183.207.248.71:80/cntv/live1/n-dongzuody/n-dongzuody
家庭剧场,http://183.207.248.71:80/cntv/live1/n-jiatingjc/n-jiatingjc
惊悚电影,http://183.207.248.71:80/cntv/live1/n-jingsongxy/n-jingsongxy
潮妈辣婆,http://183.207.248.71:80/cntv/live1/n-cmlapo/n-cmlapo
黑莓电影,http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-Supermovie/HD-8000k-1080P-Supermovie
劲爆体育,http://183.207.255.188/live/program/live/jbtyhd/4000000/mnf.m3u8
新视觉台,http://183.207.255.188/live/program/live/xsjhd/4000000/mnf.m3u8
魅力足球,http://183.207.255.188/live/program/live/mlyyhd/4000000/mnf.m3u8
CCTV-2财经,http://223.110.245.142/ott.js.chinamobile.com/PLTV/3/224/3221227708/index.m3u8
CCTV-5+体育赛事,http://223.110.245.144/ott.js.chinamobile.com/PLTV/3/224/3221227381/index.m3u8
CCTV-7国防军事,http://223.110.245.141/ott.js.chinamobile.com/PLTV/3/224/3221227314/index.m3u8
CCTV-9记录,http://223.110.243.142/ott.js.chinamobile.com/PLTV/3/224/3221227704/index.m3u8
CCTV-10科教,http://223.110.245.146/ott.js.chinamobile.com/PLTV/3/224/3221227317/index.m3u8
CCTV-11戏曲,http://223.110.245.152/ott.js.chinamobile.com/PLTV/3/224/3221227384/index.m3u8
CCTV-12社会与法,http://223.110.243.148/ott.js.chinamobile.com/PLTV/3/224/3221227655/index.m3u8
CCTV-14少儿,http://223.110.243.148/ott.js.chinamobile.com/PLTV/3/224/3221227656/index.m3u8
翡翠台,http://8rr.co/5FyJ

JSipTV,#genre#
CCTV-1综合,http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-cctv1/HD-8000k-1080P-cctv1#http://117.148.187.37/PLTV/88888888/224/3221226154/index.m3u8#http://cctv5ksh5ca.v.kcdnvip.com/live/cctv1_2/index.m3u8#http://ivi.bupt.edu.cn/hls/cctv1hd.m3u8#http://223.110.245.144/ott.js.chinamobile.com/PLTV/3/224/3221227375/index.m3u8
CCTV-3综艺,http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-cctv3/HD-8000k-1080P-cctv3#http://dbiptv.sn.chinamobile.com/pltv/88888890/224/3221226397/index.m3u8#http://ivi.bupt.edu.cn/hls/cctv3hd.m3u8#http://223.110.243.144/ott.js.chinamobile.com/PLTV/3/224/3221227295/index.m3u8#http://183.207.249.14/PLTV/3/224/3221225588/index.m3u8
CCTV-体育赛事,http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-cctv05plus/HD-8000k-1080P-cctv05plus#http://125.210.152.18:9090/live/TYSSHD_H265.m3u8#http://cctv5ksh5ca.v.kcdnvip.com/live/cctv5plus_2/index.m3u8#http://ivi.bupt.edu.cn/hls/cctv5phd.m3u8#http://121.31.30.90:8085/ysten-business/live/hdcctv05plus/yst.m3u8
